"Statistic Label","Month","Selected Sub Indices","UNIT","VALUE"
"Consumer Price Index (Base Dec 2006=100)","1975 November","CPI excluding Housing","Base Dec 2006=100","15.9"
"Consumer Price Index (Base Dec 2006=100)","1975 December","CPI excluding Housing","Base Dec 2006=100","15.9"
"Consumer Price Index (Base Dec 2006=100)","1976 January","CPI excluding Housing","Base Dec 2006=100","17.1"
"Consumer Price Index (Base Dec 2006=100)","1976 February","CPI excluding Housing","Base Dec 2006=100","17.1"
"Consumer Price Index (Base Dec 2006=100)","1976 March","CPI excluding Housing","Base Dec 2006=100","17.1"
"Consumer Price Index (Base Dec 2006=100)","1976 April","CPI excluding Housing","Base Dec 2006=100","18.2"
"Consumer Price Index (Base Dec 2006=100)","1976 May","CPI excluding Housing","Base Dec 2006=100","18.2"
"Consumer Price Index (Base Dec 2006=100)","1976 June","CPI excluding Housing","Base Dec 2006=100","18.2"
"Consumer Price Index (Base Dec 2006=100)","1976 July","CPI excluding Housing","Base Dec 2006=100","18.4"
"Consumer Price Index (Base Dec 2006=100)","1976 August","CPI excluding Housing","Base Dec 2006=100","18.4"
"Consumer Price Index (Base Dec 2006=100)","1976 September","CPI excluding Housing","Base Dec 2006=100","18.4"
"Consumer Price Index (Base Dec 2006=100)","1976 October","CPI excluding Housing","Base Dec 2006=100","19.2"
"Consumer Price Index (Base Dec 2006=100)","1976 November","CPI excluding Housing","Base Dec 2006=100","19.2"
"Consumer Price Index (Base Dec 2006=100)","1976 December","CPI excluding Housing","Base Dec 2006=100","19.2"
"Consumer Price Index (Base Dec 2006=100)","1977 January","CPI excluding Housing","Base Dec 2006=100","19.9"
"Consumer Price Index (Base Dec 2006=100)","1977 February","CPI excluding Housing","Base Dec 2006=100","19.9"
"Consumer Price Index (Base Dec 2006=100)","1977 March","CPI excluding Housing","Base Dec 2006=100","19.9"
"Consumer Price Index (Base Dec 2006=100)","1977 April","CPI excluding Housing","Base Dec 2006=100","20.8"
"Consumer Price Index (Base Dec 2006=100)","1977 May","CPI excluding Housing","Base Dec 2006=100","20.8"
"Consumer Price Index (Base Dec 2006=100)","1977 June","CPI excluding Housing","Base Dec 2006=100","20.8"
"Consumer Price Index (Base Dec 2006=100)","1977 July","CPI excluding Housing","Base Dec 2006=100","21"
"Consumer Price Index (Base Dec 2006=100)","1977 August","CPI excluding Housing","Base Dec 2006=100","21"
"Consumer Price Index (Base Dec 2006=100)","1977 September","CPI excluding Housing","Base Dec 2006=100","21"
"Consumer Price Index (Base Dec 2006=100)","1977 October","CPI excluding Housing","Base Dec 2006=100","21.4"
"Consumer Price Index (Base Dec 2006=100)","1977 November","CPI excluding Housing","Base Dec 2006=100","21.4"
"Consumer Price Index (Base Dec 2006=100)","1977 December","CPI excluding Housing","Base Dec 2006=100","21.4"
"Consumer Price Index (Base Dec 2006=100)","1978 January","CPI excluding Housing","Base Dec 2006=100","21.7"
"Consumer Price Index (Base Dec 2006=100)","1978 February","CPI excluding Housing","Base Dec 2006=100","21.7"
"Consumer Price Index (Base Dec 2006=100)","1978 March","CPI excluding Housing","Base Dec 2006=100","21.7"
"Consumer Price Index (Base Dec 2006=100)","1978 April","CPI excluding Housing","Base Dec 2006=100","22.3"
"Consumer Price Index (Base Dec 2006=100)","1978 May","CPI excluding Housing","Base Dec 2006=100","22.3"
"Consumer Price Index (Base Dec 2006=100)","1978 June","CPI excluding Housing","Base Dec 2006=100","22.3"
"Consumer Price Index (Base Dec 2006=100)","1978 July","CPI excluding Housing","Base Dec 2006=100","23"
"Consumer Price Index (Base Dec 2006=100)","1978 August","CPI excluding Housing","Base Dec 2006=100","23"
"Consumer Price Index (Base Dec 2006=100)","1978 September","CPI excluding Housing","Base Dec 2006=100","23"
"Consumer Price Index (Base Dec 2006=100)","1978 October","CPI excluding Housing","Base Dec 2006=100","23.3"
"Consumer Price Index (Base Dec 2006=100)","1978 November","CPI excluding Housing","Base Dec 2006=100","23.3"
