"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin","Euro","1312.69"
"RTB Average Monthly Rent Report","2008Q1","All bedrooms","All property types","Dublin","Euro","1330.38"
"RTB Average Monthly Rent Report","2008Q2","All bedrooms","All property types","Dublin","Euro","1325.04"
"RTB Average Monthly Rent Report","2008Q3","All bedrooms","All property types","Dublin","Euro","1286.54"
"RTB Average Monthly Rent Report","2008Q4","All bedrooms","All property types","Dublin","Euro","1256.13"
"RTB Average Monthly Rent Report","2009Q1","All bedrooms","All property types","Dublin","Euro","1226.67"
"RTB Average Monthly Rent Report","2009Q2","All bedrooms","All property types","Dublin","Euro","1187.02"
"RTB Average Monthly Rent Report","2009Q3","All bedrooms","All property types","Dublin","Euro","1145.05"
"RTB Average Monthly Rent Report","2009Q4","All bedrooms","All property types","Dublin","Euro","1096.73"
"RTB Average Monthly Rent Report","2010Q1","All bedrooms","All property types","Dublin","Euro","1066.46"
"RTB Average Monthly Rent Report","2010Q2","All bedrooms","All property types","Dublin","Euro","1040.86"
"RTB Average Monthly Rent Report","2010Q3","All bedrooms","All property types","Dublin","Euro","1029.33"
"RTB Average Monthly Rent Report","2010Q4","All bedrooms","All property types","Dublin","Euro","1013.09"
"RTB Average Monthly Rent Report","2011Q1","All bedrooms","All property types","Dublin","Euro","1005.8"
"RTB Average Monthly Rent Report","2011Q2","All bedrooms","All property types","Dublin","Euro","1002.22"
"RTB Average Monthly Rent Report","2011Q3","All bedrooms","All property types","Dublin","Euro","1010.64"
"RTB Average Monthly Rent Report","2011Q4","All bedrooms","All property types","Dublin","Euro","1013.12"
"RTB Average Monthly Rent Report","2012Q1","All bedrooms","All property types","Dublin","Euro","1015.01"
"RTB Average Monthly Rent Report","2012Q2","All bedrooms","All property types","Dublin","Euro","1017.23"
"RTB Average Monthly Rent Report","2012Q3","All bedrooms","All property types","Dublin","Euro","1033.76"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin","Euro","1036.04"
"RTB Average Monthly Rent Report","2013Q1","All bedrooms","All property types","Dublin","Euro","1035.64"
"RTB Average Monthly Rent Report","2013Q2","All bedrooms","All property types","Dublin","Euro","1044.95"
"RTB Average Monthly Rent Report","2013Q3","All bedrooms","All property types","Dublin","Euro","1076.51"
"RTB Average Monthly Rent Report","2013Q4","All bedrooms","All property types","Dublin","Euro","1090.65"
"RTB Average Monthly Rent Report","2014Q1","All bedrooms","All property types","Dublin","Euro","1104.65"
"RTB Average Monthly Rent Report","2014Q2","All bedrooms","All property types","Dublin","Euro","1128.42"
"RTB Average Monthly Rent Report","2014Q3","All bedrooms","All property types","Dublin","Euro","1177.54"
"RTB Average Monthly Rent Report","2014Q4","All bedrooms","All property types","Dublin","Euro","1198.69"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Dublin","Euro","1217.69"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin","Euro","1240.06"
"RTB Average Monthly Rent Report","2015Q3","All bedrooms","All property types","Dublin","Euro","1286.07"
