"Statistic Label","Month","Commodity Group","UNIT","VALUE"
"Consumer Price Index (Base Dec 2006=100)","2009 January","All items","Base Dec 2006=100","104.1"
"Consumer Price Index (Base Dec 2006=100)","2009 February","All items","Base Dec 2006=100","103.7"
"Consumer Price Index (Base Dec 2006=100)","2009 March","All items","Base Dec 2006=100","103.7"
"Consumer Price Index (Base Dec 2006=100)","2009 April","All items","Base Dec 2006=100","102.9"
"Consumer Price Index (Base Dec 2006=100)","2009 May","All items","Base Dec 2006=100","102.4"
"Consumer Price Index (Base Dec 2006=100)","2009 June","All items","Base Dec 2006=100","102.1"
"Consumer Price Index (Base Dec 2006=100)","2009 July","All items","Base Dec 2006=100","101.3"
"Consumer Price Index (Base Dec 2006=100)","2009 August","All items","Base Dec 2006=100","101.7"
"Consumer Price Index (Base Dec 2006=100)","2009 September","All items","Base Dec 2006=100","101.3"
"Consumer Price Index (Base Dec 2006=100)","2009 October","All items","Base Dec 2006=100","101.1"
"Consumer Price Index (Base Dec 2006=100)","2009 November","All items","Base Dec 2006=100","101.1"
"Consumer Price Index (Base Dec 2006=100)","2009 December","All items","Base Dec 2006=100","100.6"
"Consumer Price Index (Base Dec 2006=100)","2010 January","All items","Base Dec 2006=100","100"
"Consumer Price Index (Base Dec 2006=100)","2010 February","All items","Base Dec 2006=100","100.4"
"Consumer Price Index (Base Dec 2006=100)","2010 March","All items","Base Dec 2006=100","100.5"
"Consumer Price Index (Base Dec 2006=100)","2010 April","All items","Base Dec 2006=100","100.7"
"Consumer Price Index (Base Dec 2006=100)","2010 May","All items","Base Dec 2006=100","101.3"
"Consumer Price Index (Base Dec 2006=100)","2010 June","All items","Base Dec 2006=100","101.2"
"Consumer Price Index (Base Dec 2006=100)","2010 July","All items","Base Dec 2006=100","101.2"
"Consumer Price Index (Base Dec 2006=100)","2010 August","All items","Base Dec 2006=100","101.9"
"Consumer Price Index (Base Dec 2006=100)","2010 September","All items","Base Dec 2006=100","101.8"
"Consumer Price Index (Base Dec 2006=100)","2010 October","All items","Base Dec 2006=100","101.8"
"Consumer Price Index (Base Dec 2006=100)","2010 November","All items","Base Dec 2006=100","101.7"
"Consumer Price Index (Base Dec 2006=100)","2010 December","All items","Base Dec 2006=100","101.9"
