"STATISTIC","Quarter","UNIT","Single house","Scheme house","Apartment","All house types"
"Seasonally Adjusted New Dwelling Completions","2011Q1","Number","1383","489","333","2204"
"Seasonally Adjusted New Dwelling Completions","2011Q2","Number","1254","441","208","1902"
"Seasonally Adjusted New Dwelling Completions","2011Q3","Number","1182","302","195","1678"
"Seasonally Adjusted New Dwelling Completions","2011Q4","Number","1058","186","125","1370"
"Seasonally Adjusted New Dwelling Completions","2012Q1","Number","953","233","149","1336"
"Seasonally Adjusted New Dwelling Completions","2012Q2","Number","886","222","74","1182"
"Seasonally Adjusted New Dwelling Completions","2012Q3","Number","857","241","97","1196"
"Seasonally Adjusted New Dwelling Completions","2012Q4","Number","830","261","131","1222"
"Seasonally Adjusted New Dwelling Completions","2013Q1","Number","760","212","92","1063"
"Seasonally Adjusted New Dwelling Completions","2013Q2","Number","751","290","142","1183"
"Seasonally Adjusted New Dwelling Completions","2013Q3","Number","718","265","40","1023"
"Seasonally Adjusted New Dwelling Completions","2013Q4","Number","730","359","183","1272"
"Seasonally Adjusted New Dwelling Completions","2014Q1","Number","736","338","188","1263"
"Seasonally Adjusted New Dwelling Completions","2014Q2","Number","739","416","242","1397"
"Seasonally Adjusted New Dwelling Completions","2014Q3","Number","717","503","168","1388"
"Seasonally Adjusted New Dwelling Completions","2014Q4","Number","784","512","156","1452"
"Seasonally Adjusted New Dwelling Completions","2015Q1","Number","765","706","124","1595"
"Seasonally Adjusted New Dwelling Completions","2015Q2","Number","761","717","164","1642"
"Seasonally Adjusted New Dwelling Completions","2015Q3","Number","861","898","244","2003"
"Seasonally Adjusted New Dwelling Completions","2015Q4","Number","857","928","136","1921"
"Seasonally Adjusted New Dwelling Completions","2016Q1","Number","793","1146","381","2320"
"Seasonally Adjusted New Dwelling Completions","2016Q2","Number","904","1248","260","2413"
"Seasonally Adjusted New Dwelling Completions","2016Q3","Number","946","1223","258","2427"
"Seasonally Adjusted New Dwelling Completions","2016Q4","Number","954","1363","247","2564"
"Seasonally Adjusted New Dwelling Completions","2017Q1","Number","1000","1564","547","3111"
"Seasonally Adjusted New Dwelling Completions","2017Q2","Number","1042","1962","467","3471"
"Seasonally Adjusted New Dwelling Completions","2017Q3","Number","1089","2006","559","3654"
"Seasonally Adjusted New Dwelling Completions","2017Q4","Number","1091","2230","579","3900"
"Seasonally Adjusted New Dwelling Completions","2018Q1","Number","1109","2521","547","4177"
"Seasonally Adjusted New Dwelling Completions","2018Q2","Number","1151","2703","508","4362"
"Seasonally Adjusted New Dwelling Completions","2018Q3","Number","1179","2850","526","4555"
"Seasonally Adjusted New Dwelling Completions","2018Q4","Number","1213","2783","625","4621"
"Seasonally Adjusted New Dwelling Completions","2019Q1","Number","1261","2931","656","4848"
"Seasonally Adjusted New Dwelling Completions","2019Q2","Number","1317","3064","724","5105"
"Seasonally Adjusted New Dwelling Completions","2019Q3","Number","1239","3356","989","5584"
"Seasonally Adjusted New Dwelling Completions","2019Q4","Number","1272","3146","995","5412"
"Seasonally Adjusted New Dwelling Completions","2020Q1","Number","1284","3305","1133","5723"
"Seasonally Adjusted New Dwelling Completions","2020Q2","Number","865","1955","590","3410"
"Seasonally Adjusted New Dwelling Completions","2020Q3","Number","1437","2927","684","5048"
"Seasonally Adjusted New Dwelling Completions","2020Q4","Number","1374","3380","1354","6107"
"Seasonally Adjusted New Dwelling Completions","2021Q1","Number","1139","2864","843","4846"
"Seasonally Adjusted New Dwelling Completions","2021Q2","Number","1149","2490","1471","5109"
"Seasonally Adjusted New Dwelling Completions","2021Q3","Number","1183","2537","932","4652"
"Seasonally Adjusted New Dwelling Completions","2021Q4","Number","1252","2784","1689","5724"
"Seasonally Adjusted New Dwelling Completions","2022Q1","Number","1287","3349","2012","6648"
"Seasonally Adjusted New Dwelling Completions","2022Q2","Number","1323","4100","2705","8128"
"Seasonally Adjusted New Dwelling Completions","2022Q3","Number","1487","3679","2232","7398"
"Seasonally Adjusted New Dwelling Completions","2022Q4","Number","1378","3937","2148","7464"
"Seasonally Adjusted New Dwelling Completions","2023Q1","Number","1370","3695","2854","7918"
"Seasonally Adjusted New Dwelling Completions","2023Q2","Number","1394","4164","2146","7704"
"Seasonally Adjusted New Dwelling Completions","2023Q3","Number","1395","3775","3275","8445"
"Seasonally Adjusted New Dwelling Completions","2023Q4","Number","1360","3869","3100","8328"
"Seasonally Adjusted New Dwelling Completions","2024Q1","Number","1370","4113","1920","7402"
"Seasonally Adjusted New Dwelling Completions","2024Q2","Number","1352","3648","1824","6824"
