"Statistic Label","Month","Residential Units Commenced","Local Authority","UNIT","VALUE"
"Commencement Notices","2014 March","Number of residential units","Ireland","Number","2"
"Commencement Notices","2014 April","Number of residential units","Ireland","Number","83"
"Commencement Notices","2014 May","Number of residential units","Ireland","Number","79"
"Commencement Notices","2014 June","Number of residential units","Ireland","Number","217"
"Commencement Notices","2014 July","Number of residential units","Ireland","Number","326"
"Commencement Notices","2014 August","Number of residential units","Ireland","Number","266"
"Commencement Notices","2014 September","Number of residential units","Ireland","Number","416"
"Commencement Notices","2014 October","Number of residential units","Ireland","Number","421"
"Commencement Notices","2014 November","Number of residential units","Ireland","Number","301"
"Commencement Notices","2014 December","Number of residential units","Ireland","Number","342"
"Commencement Notices","2015 January","Number of residential units","Ireland","Number","298"
"Commencement Notices","2015 February","Number of residential units","Ireland","Number","355"
"Commencement Notices","2015 March","Number of residential units","Ireland","Number","684"
"Commencement Notices","2015 April","Number of residential units","Ireland","Number","896"
"Commencement Notices","2015 May","Number of residential units","Ireland","Number","716"
"Commencement Notices","2015 June","Number of residential units","Ireland","Number","742"
"Commencement Notices","2015 July","Number of residential units","Ireland","Number","1016"
"Commencement Notices","2015 August","Number of residential units","Ireland","Number","662"
"Commencement Notices","2015 September","Number of residential units","Ireland","Number","976"
"Commencement Notices","2015 October","Number of residential units","Ireland","Number","893"
"Commencement Notices","2015 November","Number of residential units","Ireland","Number","871"
"Commencement Notices","2015 December","Number of residential units","Ireland","Number","638"
"Commencement Notices","2016 January","Number of residential units","Ireland","Number","810"
"Commencement Notices","2016 February","Number of residential units","Ireland","Number","1430"
"Commencement Notices","2016 March","Number of residential units","Ireland","Number","662"
"Commencement Notices","2016 April","Number of residential units","Ireland","Number","833"
"Commencement Notices","2016 May","Number of residential units","Ireland","Number","1453"
"Commencement Notices","2016 June","Number of residential units","Ireland","Number","1037"
"Commencement Notices","2016 July","Number of residential units","Ireland","Number","957"
"Commencement Notices","2016 August","Number of residential units","Ireland","Number","978"
"Commencement Notices","2016 September","Number of residential units","Ireland","Number","1080"
"Commencement Notices","2016 October","Number of residential units","Ireland","Number","1760"
"Commencement Notices","2016 November","Number of residential units","Ireland","Number","1326"
"Commencement Notices","2016 December","Number of residential units","Ireland","Number","908"
"Commencement Notices","2017 January","Number of residential units","Ireland","Number","910"
"Commencement Notices","2017 February","Number of residential units","Ireland","Number","1265"
"Commencement Notices","2017 March","Number of residential units","Ireland","Number","1685"
"Commencement Notices","2017 April","Number of residential units","Ireland","Number","1620"
"Commencement Notices","2017 May","Number of residential units","Ireland","Number","2053"
"Commencement Notices","2017 June","Number of residential units","Ireland","Number","1735"
"Commencement Notices","2017 July","Number of residential units","Ireland","Number","1284"
"Commencement Notices","2017 August","Number of residential units","Ireland","Number","1319"
"Commencement Notices","2017 September","Number of residential units","Ireland","Number","1458"
"Commencement Notices","2017 October","Number of residential units","Ireland","Number","1588"
"Commencement Notices","2017 November","Number of residential units","Ireland","Number","1808"
"Commencement Notices","2017 December","Number of residential units","Ireland","Number","847"
"Commencement Notices","2018 January","Number of residential units","Ireland","Number","1251"
"Commencement Notices","2018 February","Number of residential units","Ireland","Number","1896"
"Commencement Notices","2018 March","Number of residential units","Ireland","Number","1227"
"Commencement Notices","2018 April","Number of residential units","Ireland","Number","1926"
"Commencement Notices","2018 May","Number of residential units","Ireland","Number","2114"
"Commencement Notices","2018 June","Number of residential units","Ireland","Number","2087"
"Commencement Notices","2018 July","Number of residential units","Ireland","Number","1930"
"Commencement Notices","2018 August","Number of residential units","Ireland","Number","2239"
"Commencement Notices","2018 September","Number of residential units","Ireland","Number","1547"
"Commencement Notices","2018 October","Number of residential units","Ireland","Number","2339"
"Commencement Notices","2018 November","Number of residential units","Ireland","Number","2433"
"Commencement Notices","2018 December","Number of residential units","Ireland","Number","1478"
"Commencement Notices","2019 January","Number of residential units","Ireland","Number","1503"
"Commencement Notices","2019 February","Number of residential units","Ireland","Number","2569"
"Commencement Notices","2019 March","Number of residential units","Ireland","Number","2477"
"Commencement Notices","2019 April","Number of residential units","Ireland","Number","1974"
"Commencement Notices","2019 May","Number of residential units","Ireland","Number","1862"
"Commencement Notices","2019 June","Number of residential units","Ireland","Number","1875"
"Commencement Notices","2019 July","Number of residential units","Ireland","Number","2171"
"Commencement Notices","2019 August","Number of residential units","Ireland","Number","2884"
"Commencement Notices","2019 September","Number of residential units","Ireland","Number","2541"
"Commencement Notices","2019 October","Number of residential units","Ireland","Number","3173"
"Commencement Notices","2019 November","Number of residential units","Ireland","Number","1515"
"Commencement Notices","2019 December","Number of residential units","Ireland","Number","1693"
"Commencement Notices","2020 January","Number of residential units","Ireland","Number","2051"
"Commencement Notices","2020 February","Number of residential units","Ireland","Number","2419"
"Commencement Notices","2020 March","Number of residential units","Ireland","Number","2383"
"Commencement Notices","2020 April","Number of residential units","Ireland","Number","1039"
"Commencement Notices","2020 May","Number of residential units","Ireland","Number","873"
"Commencement Notices","2020 June","Number of residential units","Ireland","Number","1187"
"Commencement Notices","2020 July","Number of residential units","Ireland","Number","1621"
"Commencement Notices","2020 August","Number of residential units","Ireland","Number","1571"
"Commencement Notices","2020 September","Number of residential units","Ireland","Number","2249"
"Commencement Notices","2020 October","Number of residential units","Ireland","Number","2222"
"Commencement Notices","2020 November","Number of residential units","Ireland","Number","2522"
"Commencement Notices","2020 December","Number of residential units","Ireland","Number","1549"
"Commencement Notices","2021 January","Number of residential units","Ireland","Number","1384"
"Commencement Notices","2021 February","Number of residential units","Ireland","Number","522"
"Commencement Notices","2021 March","Number of residential units","Ireland","Number","969"
"Commencement Notices","2021 April","Number of residential units","Ireland","Number","4736"
"Commencement Notices","2021 May","Number of residential units","Ireland","Number","4969"
"Commencement Notices","2021 June","Number of residential units","Ireland","Number","2950"
"Commencement Notices","2021 July","Number of residential units","Ireland","Number","3331"
"Commencement Notices","2021 August","Number of residential units","Ireland","Number","2162"
"Commencement Notices","2021 September","Number of residential units","Ireland","Number","3203"
"Commencement Notices","2021 October","Number of residential units","Ireland","Number","2650"
"Commencement Notices","2021 November","Number of residential units","Ireland","Number","2112"
"Commencement Notices","2021 December","Number of residential units","Ireland","Number","1736"
"Commencement Notices","2022 January","Number of residential units","Ireland","Number","1861"
"Commencement Notices","2022 February","Number of residential units","Ireland","Number","2327"
"Commencement Notices","2022 March","Number of residential units","Ireland","Number","2809"
"Commencement Notices","2022 April","Number of residential units","Ireland","Number","2346"
"Commencement Notices","2022 May","Number of residential units","Ireland","Number","2746"
"Commencement Notices","2022 June","Number of residential units","Ireland","Number","2060"
"Commencement Notices","2022 July","Number of residential units","Ireland","Number","2438"
"Commencement Notices","2022 August","Number of residential units","Ireland","Number","2121"
"Commencement Notices","2022 September","Number of residential units","Ireland","Number","2211"
"Commencement Notices","2022 October","Number of residential units","Ireland","Number","1841"
"Commencement Notices","2022 November","Number of residential units","Ireland","Number","2402"
"Commencement Notices","2022 December","Number of residential units","Ireland","Number","1795"
"Commencement Notices","2023 January","Number of residential units","Ireland","Number","2108"
"Commencement Notices","2023 February","Number of residential units","Ireland","Number","1997"
"Commencement Notices","2023 March","Number of residential units","Ireland","Number","3244"
"Commencement Notices","2023 April","Number of residential units","Ireland","Number","2579"
"Commencement Notices","2023 May","Number of residential units","Ireland","Number","3059"
"Commencement Notices","2023 June","Number of residential units","Ireland","Number","2574"
"Commencement Notices","2023 July","Number of residential units","Ireland","Number","2985"
"Commencement Notices","2023 August","Number of residential units","Ireland","Number","2770"
"Commencement Notices","2023 September","Number of residential units","Ireland","Number","2607"
"Commencement Notices","2023 October","Number of residential units","Ireland","Number","2624"
"Commencement Notices","2023 November","Number of residential units","Ireland","Number","3087"
"Commencement Notices","2023 December","Number of residential units","Ireland","Number","3167"
"Commencement Notices","2024 January","Number of residential units","Ireland","Number","3357"
"Commencement Notices","2024 February","Number of residential units","Ireland","Number","3699"
"Commencement Notices","2024 March","Number of residential units","Ireland","Number","4900"
"Commencement Notices","2024 April","Number of residential units","Ireland","Number","18182"
"Commencement Notices","2024 May","Number of residential units","Ireland","Number","1983"
"Commencement Notices","2024 June","Number of residential units","Ireland","Number","1663"
"Commencement Notices","2024 July","Number of residential units","Ireland","Number","1574"
"Commencement Notices","2024 August","Number of residential units","Ireland","Number","2264"
