"Statistic Label","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Mean Sale Price","2010 January","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","211531"
"Mean Sale Price","2010 February","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","202311"
"Mean Sale Price","2010 March","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","197470"
"Mean Sale Price","2010 April","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","203794"
"Mean Sale Price","2010 May","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","185885"
"Mean Sale Price","2010 June","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","196587"
"Mean Sale Price","2010 July","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","198635"
"Mean Sale Price","2010 August","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","205172"
"Mean Sale Price","2010 September","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","195888"
"Mean Sale Price","2010 October","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","183243"
"Mean Sale Price","2010 November","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","153996"
"Mean Sale Price","2010 December","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","177194"
"Mean Sale Price","2011 January","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","179457"
"Mean Sale Price","2011 February","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","171110"
"Mean Sale Price","2011 March","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","170381"
"Mean Sale Price","2011 April","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","164849"
"Mean Sale Price","2011 May","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","161914"
"Mean Sale Price","2011 June","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","167728"
"Mean Sale Price","2011 July","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","165374"
"Mean Sale Price","2011 August","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","178380"
"Mean Sale Price","2011 September","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","169497"
"Mean Sale Price","2011 October","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","152801"
"Mean Sale Price","2011 November","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","145131"
"Mean Sale Price","2011 December","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","144491"
"Mean Sale Price","2012 January","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","150245"
"Mean Sale Price","2012 February","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","143123"
"Mean Sale Price","2012 March","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","146761"
"Mean Sale Price","2012 April","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","132629"
"Mean Sale Price","2012 May","All Counties","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Euro","151428"
