"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2007Q4","One bed","All property types","Dublin","Euro","992.88"
"RTB Average Monthly Rent Report","2008Q1","One bed","All property types","Dublin","Euro","992.44"
"RTB Average Monthly Rent Report","2008Q2","One bed","All property types","Dublin","Euro","985.08"
"RTB Average Monthly Rent Report","2008Q3","One bed","All property types","Dublin","Euro","930.87"
"RTB Average Monthly Rent Report","2008Q4","One bed","All property types","Dublin","Euro","910.79"
"RTB Average Monthly Rent Report","2009Q1","One bed","All property types","Dublin","Euro","894.51"
"RTB Average Monthly Rent Report","2009Q2","One bed","All property types","Dublin","Euro","864.69"
"RTB Average Monthly Rent Report","2009Q3","One bed","All property types","Dublin","Euro","833.58"
"RTB Average Monthly Rent Report","2009Q4","One bed","All property types","Dublin","Euro","801.48"
"RTB Average Monthly Rent Report","2010Q1","One bed","All property types","Dublin","Euro","794"
"RTB Average Monthly Rent Report","2010Q2","One bed","All property types","Dublin","Euro","771.75"
"RTB Average Monthly Rent Report","2010Q3","One bed","All property types","Dublin","Euro","757.23"
"RTB Average Monthly Rent Report","2010Q4","One bed","All property types","Dublin","Euro","743.11"
"RTB Average Monthly Rent Report","2011Q1","One bed","All property types","Dublin","Euro","743.16"
"RTB Average Monthly Rent Report","2011Q2","One bed","All property types","Dublin","Euro","733.84"
"RTB Average Monthly Rent Report","2011Q3","One bed","All property types","Dublin","Euro","730.52"
"RTB Average Monthly Rent Report","2011Q4","One bed","All property types","Dublin","Euro","731.53"
"RTB Average Monthly Rent Report","2012Q1","One bed","All property types","Dublin","Euro","733.87"
"RTB Average Monthly Rent Report","2012Q2","One bed","All property types","Dublin","Euro","733.23"
"RTB Average Monthly Rent Report","2012Q3","One bed","All property types","Dublin","Euro","735.45"
"RTB Average Monthly Rent Report","2012Q4","One bed","All property types","Dublin","Euro","740.36"
"RTB Average Monthly Rent Report","2013Q1","One bed","All property types","Dublin","Euro","746.7"
"RTB Average Monthly Rent Report","2013Q2","One bed","All property types","Dublin","Euro","753.31"
